Asset ID,Plant,Equipment Installation Date,Last Inspection Date,,Asset Type,Last Inspection Comment,Work Order Rasised Date,Type of Corrosion,Work Order Comment (WO),Type of Work Order (WO),Resolution Comment ,Timeline (in hrs),Approval time (in hrs),Production Loss (in %),Rate of Corrosion (mpy),Equipmet Criticality,Next Planned Manitenance Date
AS0074,Plant-A,20-12-1999,27-07-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.56 degradation of  Shell And Tube Heat Exchanger on 0.54 of surface area,Replacement,Replaced affected sections,8,4,,150,High,27-04-2024
AS0075,Plant-B,11-06-1999,28-07-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,23-08-2011,Fatigue,Fatigue corrosion was found with 0.59 degradation of  Shell And Tube Heat Exchanger on 0.49 of surface area,Replacement,Replaced affected components,9,3,,448,Medium,28-04-2024
AS0076,Plant-B,30-07-1999,29-07-2020,,Shell And Tube Heat Exchanger,High Corrosion,31-10-2011,Atmospheric,Atmospheric corrosion was found with 0.31 degradation of  Shell And Tube Heat Exchanger on 0.56 of surface area,Retrofitment,Applied protective coating,7,2,,64,Medium,29-04-2024
AS0077,Plant-C,22-03-2001,30-07-2020,,Shell And Tube Heat Exchanger,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.4 degradation of  Shell And Tube Heat Exchanger on 0.28 of surface area,Retrofitment,Conducted surface treatment,6,3,,91,Medium,30-04-2024
AS0078,Plant-C,22-05-2001,31-07-2020,,Shell And Tube Heat Exchanger,High Corrosion,15-01-2017,Fatigue,Fatigue corrosion was found with 0.34 degradation of  Shell And Tube Heat Exchanger on 0.27 of surface area,Retrofitment,Upgraded heat exchanger internals,7,4,,91,Medium,01-05-2024
AS0073,Plant-A,05-01-2001,01-08-2020,,Shell And Tube Heat Exchanger,NA,19-12-2013,Stress,Stress corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,564,Medium,02-05-2024
AS0074,Plant-A,05-08-2000,02-08-2020,,Shell And Tube Heat Exchanger,High Corrosion,20-01-2011,Stress,Stress corrosion was found with 0.27 degradation of  Shell And Tube Heat Exchanger on 0.52 of surface area,Retrofitment,Installed corrosion-resistant materials,7,3,,47,Low,03-05-2024
AS0075,Plant-B,23-02-2001,03-08-2020,,Shell And Tube Heat Exchanger,NA,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,446,High,04-05-2024
AS0076,Plant-B,09-04-2001,04-08-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,07-09-2014,Fatigue,Fatigue corrosion was found with 0.09 degradation of  Shell And Tube Heat Exchanger on 0.61 of surface area,Maintenance,Conducted vibration analysis,5,2,,8,Low,05-05-2024
AS0077,Plant-C,25-08-1999,05-08-2020,,Shell And Tube Heat Exchanger,NA,,Stress,Stress corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,283,Medium,06-05-2024
AS0078,Plant-C,03-03-2000,06-08-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,12-11-2011,Atmospheric,Atmospheric corrosion was found with 0.23 degradation of  Shell And Tube Heat Exchanger on 0.48 of surface area,Maintenance,Conducted surface treatment,6,3,,4,High,07-05-2024
AS0073,Plant-A,23-03-2001,07-08-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,14-07-2008,Stress,Stress corrosion was found with 0.51 degradation of  Shell And Tube Heat Exchanger on 0.58 of surface area,Replacement,Replaced affected components,9,4,,275,High,08-05-2024
AS0074,Plant-A,23-03-1999,08-08-2020,,Shell And Tube Heat Exchanger,High Corrosion,24-09-2008,Erosion,Erosion corrosion was found with 0.26 degradation of  Shell And Tube Heat Exchanger on 0.26 of surface area,Retrofitment,Upgraded heat exchanger internals,7,3,,47,High,09-05-2024
AS0075,Plant-B,12-09-1999,09-08-2020,,Shell And Tube Heat Exchanger,NA,06-09-2014,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,154,Low,10-05-2024
AS0076,Plant-B,03-11-2000,10-08-2020,,Shell And Tube Heat Exchanger,No Issue seen,23-11-2015,Erosion,Erosion corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Medium,11-05-2024
AS0077,Plant-C,19-02-2000,11-08-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.07 degradation of  Shell And Tube Heat Exchanger on 0.48 of surface area,Maintenance,Conducted surface treatment,6,2,,6,High,12-05-2024
AS0078,Plant-C,31-05-2000,12-08-2020,,Shell And Tube Heat Exchanger,No Issue seen,18-06-2010,Fatigue,Fatigue corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Medium,13-05-2024
AS0073,Plant-A,19-07-1999,13-08-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.21 degradation of  Shell And Tube Heat Exchanger on 0.38 of surface area,Maintenance,Conducted fatigue analysis,6,2,,4,Medium,14-05-2024
AS0074,Plant-A,22-04-2000,14-08-2020,,Shell And Tube Heat Exchanger,No Issue seen,16-02-2014,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Low,15-05-2024
AS0075,Plant-B,11-01-1999,15-08-2020,,Shell And Tube Heat Exchanger,Sign of Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.09 degradation of  Shell And Tube Heat Exchanger on 0.3 of surface area,Maintenance,Conducted surface treatment,6,2,,4,Medium,16-05-2024
AS0076,Plant-B,15-06-2001,16-08-2020,,Shell And Tube Heat Exchanger,No Issue seen,,Stress,Stress corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Low,17-05-2024
AS0077,Plant-C,30-12-2000,17-08-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.47 degradation of  Shell And Tube Heat Exchanger on 0.32 of surface area,Replacement,Replaced affected sections,8,3,,351,Medium,18-05-2024
AS0078,Plant-C,16-11-2000,18-08-2020,,Shell And Tube Heat Exchanger,High Corrosion,,Stress,Stress corrosion was found with 0.39 degradation of  Shell And Tube Heat Exchanger on 0.32 of surface area,Retrofitment,Installed corrosion-resistant materials,7,3,,22,Low,19-05-2024
AS0073,Plant-A,04-04-1999,19-08-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,02-12-2012,Atmospheric,Atmospheric corrosion was found with 0.42 degradation of  Shell And Tube Heat Exchanger on 0.53 of surface area,Replacement,Replaced affected components,8,3,,306,Low,20-05-2024
AS0074,Plant-A,07-05-2000,20-08-2020,,Shell And Tube Heat Exchanger,Equipment deformation Seen,16-03-2017,Pitting,Pitting corrosion was found with 0.52 degradation of  Shell And Tube Heat Exchanger on 0.58 of surface area,Replacement,Replaced damaged sections,8,4,,215,Medium,21-05-2024
AS0075,Plant-B,08-07-2001,21-08-2020,,Shell And Tube Heat Exchanger,No Issue seen,04-12-2008,Stress,Stress corrosion was found with 0 degradation of  Shell And Tube Heat Exchanger on 0 of surface area,NA,,,,,0,Low,22-05-2024
AS0076,Plant-B,12-05-2000,22-08-2020,,Storag Tank 5000 bbl,Equipment deformation Seen,12-04-2012,Erosion,Erosion corrosion was found with 0.43 degradation of  Storag Tank 5000 bbl on 0.36 of surface area,Replacement,Replaced affected components,9,3,,422,High,23-05-2024
AS0079,Plant-A,15-01-2001,23-08-2020,,Storag Tank 5000 bbl,Sign of Corrosion,18-09-2013,Stress,Stress corrosion was found with 0.24 degradation of  Storag Tank 5000 bbl on 0.47 of surface area,Maintenance,Conducted corrosion inspection,6,2,,2,Medium,24-05-2024
AS0080,Plant-A,20-06-2001,24-08-2020,,Storag Tank 5000 bbl,Sign of Corrosion,01-10-2013,Stress,Stress corrosion was found with 0.2 degradation of  Storag Tank 5000 bbl on 0.49 of surface area,Maintenance,Conducted integrity assessment,6,3,,8,High,25-05-2024
AS0081,Plant-B,08-05-2001,25-08-2020,,Storag Tank 5000 bbl,High Corrosion,09-11-2015,Atmospheric,Atmospheric corrosion was found with 0.26 degradation of  Storag Tank 5000 bbl on 0.38 of surface area,Retrofitment,Retrofitted affected components,7,3,,32,High,26-05-2024
AS0082,Plant-B,24-06-2001,26-08-2020,,Storag Tank 5000 bbl,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.24 degradation of  Storag Tank 5000 bbl on 0.25 of surface area,Maintenance,Conducted fatigue analysis and performed maintenance,6,2,,3,Medium,27-05-2024
AS0083,Plant-C,11-06-2000,27-08-2020,,Storag Tank 5000 bbl,No Issue seen,28-04-2012,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,0,High,28-05-2024
AS0084,Plant-C,19-04-2001,28-08-2020,,Storag Tank 5000 bbl,High Corrosion,,Fatigue,Fatigue corrosion was found with 0.36 degradation of  Storag Tank 5000 bbl on 0.58 of surface area,Retrofitment,Retrofitted affected sections,8,4,,71,Medium,29-05-2024
AS0079,Plant-A,31-12-2000,29-08-2020,,Storag Tank 5000 bbl,Equipment deformation Seen,,Erosion,Erosion corrosion was found with 0.44 degradation of  Storag Tank 5000 bbl on 0.37 of surface area,Replacement,Replaced corroded components,9,3,,575,High,30-05-2024
AS0080,Plant-A,12-01-2000,30-08-2020,,Storag Tank 5000 bbl,No Issue seen,28-03-2010,Stress,Stress corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,0,High,31-05-2024
AS0081,Plant-B,12-12-1998,31-08-2020,,Storag Tank 5000 bbl,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.32 degradation of  Storag Tank 5000 bbl on 0.64 of surface area,Retrofitment,Retrofitted affected components,7,3,,50,High,01-06-2024
AS0082,Plant-B,17-12-2000,01-09-2020,,Storag Tank 5000 bbl,High Corrosion,17-02-2016,Erosion,Erosion corrosion was found with 0.36 degradation of  Storag Tank 5000 bbl on 0.5 of surface area,Retrofitment,Retrofitted affected areas,7,4,,88,Medium,02-06-2024
AS0083,Plant-C,06-12-2000,02-09-2020,,Storag Tank 5000 bbl,Sign of Corrosion,,Stress,Stress corrosion was found with 0.24 degradation of  Storag Tank 5000 bbl on 0.3 of surface area,Maintenance,Conducted stress analysis and performed maintenance,6,3,,7,Medium,03-06-2024
AS0084,Plant-C,06-12-1998,03-09-2020,,Storag Tank 5000 bbl,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.52 degradation of  Storag Tank 5000 bbl on 0.5 of surface area,Replacement,Replaced affected components,8,3,,512,Low,04-06-2024
AS0079,Plant-A,25-12-1999,04-09-2020,,Storag Tank 5000 bbl,NA,05-06-2009,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,253,Medium,05-06-2024
AS0080,Plant-A,07-06-2001,05-09-2020,,Storag Tank 5000 bbl,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.28 degradation of  Storag Tank 5000 bbl on 0.4 of surface area,Retrofitment,Retrofitted affected sections,7,2,,68,Medium,06-06-2024
AS0081,Plant-B,10-05-1999,06-09-2020,,Storag Tank 5000 bbl,NA,,Erosion,Erosion corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,348,Medium,07-06-2024
AS0082,Plant-B,01-03-1999,07-09-2020,,Storag Tank 5000 bbl,No Issue seen,,Fatigue,Fatigue corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,0,Medium,08-06-2024
AS0083,Plant-C,08-08-2000,08-09-2020,,Storag Tank 5000 bbl,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.19 degradation of  Storag Tank 5000 bbl on 0.54 of surface area,Maintenance,Conducted pitting analysis and performed maintenance,6,3,,1,Low,09-06-2024
AS0084,Plant-C,18-02-2000,09-09-2020,,Storag Tank 5000 bbl,No Issue seen,14-06-2012,Erosion,Erosion corrosion was found with 0 degradation of  Storag Tank 5000 bbl on 0 of surface area,NA,,,,,0,High,10-06-2024
AS0079,Plant-A,07-10-1999,10-09-2020,,Storag Tank 5000 bbl,Equipment deformation Seen,24-07-2017,Erosion,Erosion corrosion was found with 0.59 degradation of  Storag Tank 5000 bbl on 0.47 of surface area,Replacement,Replaced corroded sections,9,4,,120,High,11-06-2024
AS0080,Plant-A,17-09-2000,11-09-2020,,Storag Tank 5000 bbl,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.14 degradation of  Storag Tank 5000 bbl on 0.53 of surface area,Maintenance,Conducted pitting analysis and performed maintenance,6,2,,7,Low,12-06-2024
AS0081,Plant-B,11-04-2001,12-09-2020,,Storag Tank 5000 bbl,High Corrosion,02-08-2017,Atmospheric,Atmospheric corrosion was found with 0.31 degradation of  Storag Tank 5000 bbl on 0.32 of surface area,Retrofitment,Retrofitted affected areas,7,3,,34,Medium,13-06-2024
AS0082,Plant-B,04-04-2000,13-09-2020,,Storage Tank 1000 bbl,Sign of Corrosion,11-05-2013,Erosion,Erosion corrosion was found with 0.14 degradation of  Storage Tank 1000 bbl on 0.61 of surface area,Maintenance,Conducted erosion analysis and performed maintenance,6,2,,3,High,14-06-2024
AS0085,Plant-A,15-02-2001,14-09-2020,,Storage Tank 1000 bbl,NA,30-09-2016,Stress,Stress corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,353,Low,15-06-2024
AS0086,Plant-A,05-06-2001,15-09-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.08 degradation of  Storage Tank 1000 bbl on 0.52 of surface area,Maintenance,Conducted maintenance tasks,5,3,,10,Low,16-06-2024
AS0087,Plant-B,28-03-2001,16-09-2020,,Storage Tank 1000 bbl,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.5 degradation of  Storage Tank 1000 bbl on 0.63 of surface area,Replacement,Replaced affected sections,8,4,,569,Medium,17-06-2024
AS0088,Plant-B,30-01-2000,17-09-2020,,Storage Tank 1000 bbl,Equipment deformation Seen,,Atmospheric,Atmospheric corrosion was found with 0.52 degradation of  Storage Tank 1000 bbl on 0.27 of surface area,Replacement,Replaced corroded components,9,3,,175,High,18-06-2024
AS0089,Plant-C,01-02-1999,18-09-2020,,Storage Tank 1000 bbl,Equipment deformation Seen,31-12-2008,Erosion,Erosion corrosion was found with 0.49 degradation of  Storage Tank 1000 bbl on 0.55 of surface area,Replacement,Replaced affected sections,8,4,,549,Medium,19-06-2024
AS0090,Plant-C,31-10-1999,19-09-2020,,Storage Tank 1000 bbl,High Corrosion,,Erosion,Erosion corrosion was found with 0.32 degradation of  Storage Tank 1000 bbl on 0.58 of surface area,Retrofitment,Retrofitted corroded areas,7,3,,47,Low,20-06-2024
AS0085,Plant-A,27-10-1999,20-09-2020,,Storage Tank 1000 bbl,Sign of Corrosion,13-12-2015,Erosion,Erosion corrosion was found with 0.06 degradation of  Storage Tank 1000 bbl on 0.42 of surface area,Maintenance,Conducted erosion analysis and performed maintenance,6,2,,3,Low,21-06-2024
AS0086,Plant-A,14-01-2000,21-09-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.11 degradation of  Storage Tank 1000 bbl on 0.57 of surface area,Maintenance,Conducted pitting analysis and performed maintenance,6,3,,9,Low,22-06-2024
AS0087,Plant-B,19-09-2000,22-09-2020,,Storage Tank 1000 bbl,Equipment deformation Seen,,Fatigue,Fatigue corrosion was found with 0.43 degradation of  Storage Tank 1000 bbl on 0.6 of surface area,Replacement,Replaced affected sections,8,4,,580,High,23-06-2024
AS0088,Plant-B,21-03-2001,23-09-2020,,Storage Tank 1000 bbl,No Issue seen,15-02-2008,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,0,High,24-06-2024
AS0089,Plant-C,08-06-1999,24-09-2020,,Storage Tank 1000 bbl,High Corrosion,16-06-2012,Stress,Stress corrosion was found with 0.25 degradation of  Storage Tank 1000 bbl on 0.51 of surface area,Retrofitment,Retrofitted affected areas,7,3,,57,Low,25-06-2024
AS0090,Plant-C,10-09-1999,25-09-2020,,Storage Tank 1000 bbl,No Issue seen,10-11-2013,Erosion,Erosion corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,0,Low,26-06-2024
AS0085,Plant-A,21-06-2000,26-09-2020,,Storage Tank 1000 bbl,High Corrosion,,Erosion,Erosion corrosion was found with 0.36 degradation of  Storage Tank 1000 bbl on 0.34 of surface area,Retrofitment,Retrofitted corroded areas,7,2,,35,Medium,27-06-2024
AS0086,Plant-A,16-01-2001,27-09-2020,,Storage Tank 1000 bbl,High Corrosion,23-07-2013,Fatigue,Fatigue corrosion was found with 0.39 degradation of  Storage Tank 1000 bbl on 0.47 of surface area,Retrofitment,Retrofitted affected sections,7,3,,76,Low,28-06-2024
AS0087,Plant-B,05-05-2001,28-09-2020,,Storage Tank 1000 bbl,NA,01-02-2010,Pitting,Pitting corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,108,High,29-06-2024
AS0088,Plant-B,28-03-2000,29-09-2020,,Storage Tank 1000 bbl,No Issue seen,,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,0,Medium,30-06-2024
AS0089,Plant-C,26-08-1999,30-09-2020,,Storage Tank 1000 bbl,No Issue seen,,Stress,Stress corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,0,Low,01-07-2024
AS0090,Plant-C,04-06-2001,01-10-2020,,Storage Tank 1000 bbl,NA,22-10-2012,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,,,,232,Medium,02-07-2024
AS0085,Plant-A,26-04-2001,02-10-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.06 degradation of  Storage Tank 1000 bbl on 0.29 of surface area,Maintenance,Replaced affected sections,5,2,,7,Low,03-07-2024
AS0086,Plant-A,22-01-2000,03-10-2020,,Storage Tank 1000 bbl,No Issue seen,,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,-,-,,0,Low,04-07-2024
AS0087,Plant-B,23-01-2000,04-10-2020,,Storage Tank 1000 bbl,NA,24-08-2008,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,-,-,,314,High,05-07-2024
AS0088,Plant-B,18-05-2001,05-10-2020,,Storage Tank 1000 bbl,No Issue seen,09-10-2013,Pitting,Pitting corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,-,-,,0,High,06-07-2024
AS0089,Plant-C,04-09-2000,06-10-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.23 degradation of  Storage Tank 1000 bbl on 0.3 of surface area,Maintenance,Conducted surface treatment and applied corrosion inhibitors,3,1,,9,Medium,07-07-2024
AS0090,Plant-C,07-02-2001,07-10-2020,,Storage Tank 1000 bbl,Sign of Corrosion,25-01-2013,Pitting,Pitting corrosion was found with 0.16 degradation of  Storage Tank 1000 bbl on 0.58 of surface area,Maintenance,Conducted localized repairs and applied protective coatings,4,2,,9,Medium,08-07-2024
AS0085,Plant-A,01-12-1998,08-10-2020,,Storage Tank 1000 bbl,NA,,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 1000 bbl on 0 of surface area,NA,,-,-,,555,Low,09-07-2024
AS0086,Plant-A,07-05-2000,09-10-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.06 degradation of  Storage Tank 1000 bbl on 0.4 of surface area,Maintenance,Conducted structural reinforcement and strengthening,5,2,,1,Medium,10-07-2024
AS0087,Plant-B,28-03-2000,10-10-2020,,Storage Tank 1000 bbl,Sign of Corrosion,,Pitting,Pitting corrosion was found with 0.19 degradation of  Storage Tank 1000 bbl on 0.63 of surface area,Maintenance,Performed surface reconditioning and applied corrosion inhibitors,4,2,,10,Low,11-07-2024
AS0088,Plant-B,11-04-2000,11-10-2020,,Storage Tank 10000 bbl,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.31 degradation of  Storage Tank 10000 bbl on 0.55 of surface area,Retrofitment,Retrofitted affected components,8,3,,50,High,12-07-2024
AS0091,Plant-A,26-08-2000,12-10-2020,,Storage Tank 10000 bbl,Sign of Corrosion,21-10-2009,Pitting,Pitting corrosion was found with 0.05 degradation of  Storage Tank 10000 bbl on 0.47 of surface area,Maintenance,Conducted surface treatment and applied protective coatings,3,1,,2,High,13-07-2024
AS0092,Plant-A,29-12-2000,13-10-2020,,Storage Tank 10000 bbl,Sign of Corrosion,29-10-2009,Fatigue,Fatigue corrosion was found with 0.06 degradation of  Storage Tank 10000 bbl on 0.59 of surface area,Maintenance,Conducted repairs and reinforced weakened sections,4,2,,9,High,14-07-2024
AS0093,Plant-B,09-02-2001,14-10-2020,,Storage Tank 10000 bbl,Equipment deformation Seen,19-12-2008,Erosion,Erosion corrosion was found with 0.41 degradation of  Storage Tank 10000 bbl on 0.33 of surface area,Replacement,Replaced affected sections,6,2,,399,Low,15-07-2024
AS0094,Plant-B,09-08-2000,15-10-2020,,Storage Tank 10000 bbl,NA,12-01-2014,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,425,Low,16-07-2024
AS0095,Plant-C,18-05-1999,16-10-2020,,Storage Tank 10000 bbl,No Issue seen,05-08-2007,Erosion,Erosion corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,0,Medium,17-07-2024
AS0096,Plant-C,08-03-2000,17-10-2020,,Storage Tank 10000 bbl,NA,,Erosion,Erosion corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,451,Low,18-07-2024
AS0091,Plant-A,02-04-1999,18-10-2020,,Storage Tank 10000 bbl,Equipment deformation Seen,23-04-2012,Stress,Stress corrosion was found with 0.48 degradation of  Storage Tank 10000 bbl on 0.33 of surface area,Replacement,Conducted comprehensive inspection and replaced affected parts,7,3,,183,Medium,19-07-2024
AS0092,Plant-A,20-03-2001,19-10-2020,,Storage Tank 10000 bbl,Sign of Corrosion,01-12-2007,Erosion,Erosion corrosion was found with 0.23 degradation of  Storage Tank 10000 bbl on 0.43 of surface area,Maintenance,Applied corrosion-resistant coating,4,1,,9,Low,20-07-2024
AS0093,Plant-B,08-11-2000,20-10-2020,,Storage Tank 10000 bbl,No Issue seen,,Pitting,Pitting corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,0,Medium,21-07-2024
AS0094,Plant-B,22-06-2000,21-10-2020,,Storage Tank 10000 bbl,NA,21-06-2008,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,112,Low,22-07-2024
AS0095,Plant-C,28-12-1999,22-10-2020,,Storage Tank 10000 bbl,NA,,Fatigue,Fatigue corrosion was found with 0 degradation of  Storage Tank 10000 bbl on 0 of surface area,NA,,-,-,,297,High,23-07-2024
AS0096,Plant-C,24-04-2000,23-10-2020,,Storage Tank 10000 bbl,Sign of Corrosion,11-03-2012,Fatigue,Fatigue corrosion was found with 0.15 degradation of  Storage Tank 10000 bbl on 0.62 of surface area,Maintenance,Conducted localized repairs and applied protective coatings,5,2,,10,Medium,24-07-2024
AS0091,Plant-A,22-01-2000,24-10-2020,,Storage Tank 2000 bbl,Sign of Corrosion,05-06-2008,Pitting,Pitting corrosion was found with 0.1 degradation of  Storage Tank 2000 bbl on 0.57 of surface area,Maintenance,Repaired affected sections,4,2,,1,Medium,25-07-2024
AS0097,Plant-A,13-05-1999,25-10-2020,,Storage Tank 2000 bbl,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.09 degradation of  Storage Tank 2000 bbl on 0.26 of surface area,Maintenance,Conducted structural reinforcement,3,1,,10,Low,26-07-2024
AS0098,Plant-A,05-12-2000,26-10-2020,,Storage Tank 2000 bbl,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storage Tank 2000 bbl on 0 of surface area,NA,,-,-,,0,High,27-07-2024
AS0099,Plant-B,23-02-2001,27-10-2020,,Storage Tank 2000 bbl,High Corrosion,,Atmospheric,Atmospheric corrosion was found with 0.32 degradation of  Storage Tank 2000 bbl on 0.57 of surface area,Retrofitment,Retrofitted affected components,8,3,,57,High,28-07-2024
AS0100,Plant-B,12-08-1999,28-10-2020,,Storage Tank 2000 bbl,High Corrosion,30-08-2015,Fatigue,Fatigue corrosion was found with 0.25 degradation of  Storage Tank 2000 bbl on 0.36 of surface area,Retrofitment,Replaced affected parts and upgraded the tank,7,3,,88,High,29-07-2024
AS0101,Plant-C,14-01-2001,29-10-2020,,Storage Tank 2000 bbl,No Issue seen,,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storage Tank 2000 bbl on 0 of surface area,NA,,-,-,,0,High,30-07-2024
AS0102,Plant-C,26-11-2000,30-10-2020,,Storage Tank 2000 bbl,Sign of Corrosion,,Fatigue,Fatigue corrosion was found with 0.15 degradation of  Storage Tank 2000 bbl on 0.59 of surface area,Maintenance,Conducted repairs and reinforcement,4,2,,5,High,31-07-2024
AS0097,Plant-A,01-11-1999,31-10-2020,,Storage Tank 2000 bbl,High Corrosion,12-07-2010,Atmospheric,Atmospheric corrosion was found with 0.26 degradation of  Storage Tank 2000 bbl on 0.5 of surface area,Retrofitment,Conducted retrofitment and applied corrosion-resistant coating,7,3,,92,Low,01-08-2024
AS0098,Plant-A,20-10-2000,01-11-2020,,Storage Tank 2000 bbl,Sign of Corrosion,,Erosion,Erosion corrosion was found with 0.12 degradation of  Storage Tank 2000 bbl on 0.6 of surface area,Maintenance,Repaired affected sections,4,1,,9,Medium,02-08-2024
AS0099,Plant-B,12-10-1999,02-11-2020,,Storage Tank 2000 bbl,NA,31-05-2011,Atmospheric,Atmospheric corrosion was found with 0 degradation of  Storage Tank 2000 bbl on 0 of surface area,NA,,-,-,,449,Medium,03-08-2024
AS0100,Plant-B,21-03-1999,03-11-2020,,Storage Tank 2000 bbl,NA,,Pitting,Pitting corrosion was found with 0 degradation of  Storage Tank 2000 bbl on 0 of surface area,NA,,-,-,,261,Low,04-08-2024
AS0101,Plant-C,20-08-2000,04-11-2020,,Storage Tank 2000 bbl,NA,,Pitting,Pitting corrosion was found with 0 degradation of  Storage Tank 2000 bbl on 0 of surface area,NA,,-,-,,235,Low,05-08-2024
AS0102,Plant-C,10-02-2001,05-11-2020,,Storage Tank 2000 bbl,Sign of Corrosion,18-05-2010,Pitting,Pitting corrosion was found with 0.15 degradation of  Storage Tank 2000 bbl on 0.51 of surface area,Maintenance,Conducted localized repairs and applied protective coatings,5,2,,7,Low,06-08-2024
AS0097,Plant-A,19-08-1999,06-11-2020,,Storage Tank 2000 bbl,High Corrosion,,Fatigue,Fatigue corrosion was found with 0.39 degradation of  Storage Tank 2000 bbl on 0.64 of surface area,Retrofitment,Retrofitted affected components,8,3,,18,Medium,07-08-2024
AS0098,Plant-A,31-12-1998,07-11-2020,,Storage Tank 2000 bbl,Equipment deformation Seen,22-04-2010,Fatigue,Fatigue corrosion was found with 0.5 degradation of  Storage Tank 2000 bbl on 0.31 of surface area,Replacement,Replaced the entire tank,10,4,,285,High,08-08-2024
